Ano;Município;populacao
2017;Amaral Ferrador (RS);6854
2017;Amaralina (GO);3754
2017;Amarante (PI);17322
2017;Amarante do Maranhão (MA);41106
2017;Amargosa (BA);38259
2017;Amaturá (AM);11242
2017;Amélia Rodrigues (BA);26409
2017;América Dourada (BA);16798
2017;Americana (SP);233868
2017;Americano do Brasil (GO);6018
2017;Américo Brasiliense (SP);39189
2017;Américo de Campos (SP);5967
2017;Ametista do Sul (RS);7576
2017;Amontada (CE);42901
2017;Amorinópolis (GO);3408
2017;Amparo (PB);2246
2017;Amparo (SP);71193
2017;Amparo do São Francisco (SE);2390
2017;Amparo do Serra (MG);4924
2017;Ampére (PR);18886
2017;Anadia (AL);17818
2017;Anagé (BA);19568
2017;Anahy (PR);2901
2017;Anajás (PA);28466
2017;Anajatuba (MA);27352
2017;Analândia (SP);4845
2017;Anamã (AM);12978
2017;Ananás (TO);9749
2017;Ananindeua (PA);516057
2017;Anápolis (GO);375142
2017;Anapu (PA);27096
2017;Anapurus (MA);15696
2017;Anastácio (MS);24954
2017;Anaurilândia (MS);8927
2017;Anchieta (ES);28546
2017;Anchieta (SC);5832
2017;Andaraí (BA);13737
2017;Andirá (PR);20769
2017;Andorinha (BA);15490
2017;Andradas (MG);40706
2017;Andradina (SP);57350
2017;André da Rocha (RS);1306
2017;Andrelândia (MG);12507
2017;Angatuba (SP);24634
2017;Angelândia (MG);8541
2017;Angélica (MS);10458
2017;Angelim (PE);11045
2017;Angelina (SC);4943
2017;Angical (BA);14690
2017;Angical do Piauí (PI);6684
2017;Angico (TO);3423
2017;Angicos (RN);11909
2017;Angra dos Reis (RJ);194619
2017;Anguera (BA);11481
2017;Ângulo (PR);2974
2017;Anhanguera (GO);1126
2017;Anhembi (SP);6484
2017;Anhumas (SP);4053
2017;Anicuns (GO);21746
2017;Anísio de Abreu (PI);9705
2017;Anita Garibaldi (SC);7537
2017;Anitápolis (SC);3248
2017;Anori (AM);20196
2017;Anta Gorda (RS);6210
2017;Antas (BA);19569
2017;Antonina (PR);19420
2017;Antonina do Norte (CE);7278
2017;Antônio Almeida (PI);3114
2017;Antônio Cardoso (BA);12208
2017;Antônio Carlos (MG);11608
2017;Antônio Carlos (SC);8327
2017;Antônio Dias (MG);9637
2017;Antônio Gonçalves (BA);12072
2017;Antônio João (MS);8808
2017;Antônio Martins (RN);7237
2017;Antônio Olinto (PR);7587
2017;Antônio Prado (RS);13306
2017;Antônio Prado de Minas (MG);1664
2017;Aparecida (PB);8430
2017;Aparecida (SP);36279
2017;Aparecida de Goiânia (GO);542090
2017;Aparecida do Rio Doce (GO);2517
2017;Aparecida do Rio Negro (TO);4726
2017;Aparecida do Taboado (MS);25072
2017;Aparecida d'Oeste (SP);4329
2017;Aperibé (RJ);11292
2017;Apiacá (ES);7932
2017;Apiacás (MT);9694
2017;Apiaí (SP);24945
2017;Apicum-Açu (MA);18374
2017;Apiúna (SC);10542
2017;Apodi (RN);36323
2017;Aporá (BA);18334
2017;Aporé (GO);4143
2017;Apuarema (BA);7730
2017;Apucarana (PR);132691
2017;Apuí (AM);21406
2017;Apuiarés (CE);14719
2017;Aquidabã (SE);21589
2017;Aquidauana (MS);47482
2017;Aquiraz (CE);79128
2017;Arabutã (SC);4281
2017;Araçagi (PB);17003
2017;Araçaí (MG);2368
2017;Aracaju (SE);650106
2017;Araçariguama (SP);21038
2017;Araçás (BA);12608
2017;Aracati (CE);73629
2017;Aracatu (BA);13962
2017;Araçatuba (SP);194874
2017;Araci (BA);55935
2017;Aracitaba (MG);2111
2017;Aracoiaba (CE);26269
2017;Araçoiaba (PE);20268
2017;Araçoiaba da Serra (SP);32495
2017;Aracruz (ES);98393
2017;Araçu (GO);3731
2017;Araçuaí (MG);37361
2017;Aragarças (GO);19884
2017;Aragoiânia (GO);9765
2017;Aragominas (TO);5865
2017;Araguacema (TO);7003
2017;Araguaçu (TO);8692
2017;Araguaiana (MT);3036
2017;Araguaína (TO);175960
2017;Araguainha (MT);931
2017;Araguanã (MA);15332
2017;Araguanã (TO);5645
2017;Araguapaz (GO);7862
2017;Araguari (MG);117445
2017;Araguatins (TO);35216
2017;Araioses (MA);46074
2017;Aral Moreira (MS);11771
2017;Aramari (BA);11703
2017;Arambaré (RS);3748
2017;Arame (MA);32145
2017;Aramina (SP);5552
2017;Arandu (SP);6368
2017;Arantina (MG);2873
2017;Arapeí (SP);2509
2017;Arapiraca (AL);234185
2017;Arapoema (TO);6756
2017;Araponga (MG);8544
2017;Arapongas (PR);118477
2017;Araporã (MG);6774
2017;Arapoti (PR);27906
2017;Arapuá (MG);2883
2017;Arapuã (PR);3343
2017;Araputanga (MT);16223
2017;Araquari (SC);35268
2017;Arara (PB);13538
2017;Araranguá (SC);67110
2017;Araraquara (SP);230770
2017;Araras (SP);131282
2017;Ararendá (CE);10823
2017;Arari (MA);29388
2017;Araricá (RS);5395
2017;Araripe (CE);21398
2017;Araripina (PE);83757
2017;Araruama (RJ);126742
2017;Araruna (PB);20418
2017;Araruna (PR);14098
2017;Arataca (BA);11661
2017;Aratiba (RS);6601
2017;Aratuba (CE);11244
2017;Aratuípe (BA);9171
2017;Arauá (SE);10362
2017;Araucária (PR);137452
2017;Araújos (MG);8996
2017;Araxá (MG);104283
2017;Arceburgo (MG);10578
2017;Arco-Íris (SP);1856
2017;Arcos (MG);39811
2017;Arcoverde (PE);73667
2017;Areado (MG);14956
2017;Areal (RJ);12143
2017;Arealva (SP);8452
2017;Areia (PB);22776
2017;Areia Branca (RN);27401
2017;Areia Branca (SE);18489
2017;Areia de Baraúnas (PB);2126
2017;Areial (PB);6975
2017;Areias (SP);3879
2017;Areiópolis (SP);11107
2017;Arenápolis (MT);9455
2017;Arenópolis (GO);2957
2017;Arês (RN);14307
2017;Argirita (MG);2859
2017;Aricanduva (MG);5192
2017;Arinos (MG);18243
2017;Aripuanã (MT);21357
2017;Ariquemes (RO);107345
2017;Ariranha (SP);9451
2017;Ariranha do Ivaí (PR);2301
2017;Armação dos Búzios (RJ);32260
2017;Armazém (SC);8520
2017;Arneiroz (CE);7777
2017;Aroazes (PI);5748
2017;Aroeiras (PB);19154
2017;Aroeiras do Itaim (PI);2511
2017;Arraial (PI);4656
2017;Arraial do Cabo (RJ);29304
2017;Arraias (TO);10727
2017;Arroio do Meio (RS);20272
2017;Arroio do Padre (RS);2906
2017;Arroio do Sal (RS);9050
2017;Arroio do Tigre (RS);13388
2017;Arroio dos Ratos (RS);14255
2017;Arroio Grande (RS);18922
2017;Arroio Trinta (SC);3564
2017;Artur Nogueira (SP);51986
2017;Aruanã (GO);9138
2017;Arujá (SP);86430
2017;Arvoredo (SC);2261
2017;Arvorezinha (RS);10614
2017;Ascurra (SC);7877
2017;Aspásia (SP);1842
2017;Assaí (PR);15999
2017;Assaré (CE);23254
2017;Assis (SP);102924
2017;Assis Brasil (AC);6986
2017;Assis Chateaubriand (PR);34064
2017;Assunção (PB);3921
2017;Assunção do Piauí (PI);7717
2017;Astolfo Dutra (MG);14118
2017;Astorga (PR);26196
2017;Atalaia (AL);47744
2017;Atalaia (PR);3999
2017;Atalaia do Norte (AM);19054
2017;Atalanta (SC);3254
2017;Ataléia (MG);13762
2017;Atibaia (SP);139683
2017;Atílio Vivácqua (ES);11804
2017;Augustinópolis (TO);18089
2017;Augusto Corrêa (PA);44734
2017;Augusto de Lima (MG);5023
2017;Augusto Pestana (RS);7091
2017;Áurea (RS);3718
2017;Aurelino Leal (BA);12706
2017;Auriflama (SP);15085
2017;Aurilândia (GO);3422
2017;Aurora (CE);24496
2017;Aurora (SC);5688
2017;Aurora do Pará (PA);30471
2017;Aurora do Tocantins (TO);3735
2017;Autazes (AM);38454
2017;Avaí (SP);5337
2017;Avanhandava (SP);13112
2017;Avaré (SP);89479
2017;Aveiro (PA);15947
2017;Avelino Lopes (PI);11503
2017;Avelinópolis (GO);2494
2017;Axixá (MA);11975
2017;Axixá do Tocantins (TO);9776
2017;Babaçulândia (TO);10752
2017;Bacabal (MA);103359
2017;Bacabeira (MA);17053
2017;Bacuri (MA);17435
2017;Bacurituba (MA);5574
2017;Bady Bassitt (SP);16843
2017;Baependi (MG);19315
2017;Bagé (RS);122209
2017;Bagre (PA);29808
2017;Baía da Traição (PB);9070
2017;Baía Formosa (RN);9309
2017;Baianópolis (BA);14323
2017;Baião (PA);46110
2017;Baixa Grande (BA);21403
2017;Baixa Grande do Ribeiro (PI);11375
2017;Baixio (CE);6228
2017;Baixo Guandu (ES);31794
2017;Balbinos (SP);5188
2017;Baldim (MG);8051
2017;Baliza (GO);4677
2017;Balneário Arroio do Silva (SC);12344
2017;Balneário Barra do Sul (SC);10317
2017;Balneário Camboriú (SC);135268
2017;Balneário Gaivota (SC);10413
2017;Balneário Piçarras (SC);21884
2017;Balneário Pinhal (RS);12671
2017;Balneário Rincão (SC);12403
2017;Balsa Nova (PR);12602
2017;Bálsamo (SP);8908
2017;Balsas (MA);94779
2017;Bambuí (MG);24018
2017;Banabuiú (CE);18027
2017;Bananal (SP);10867
2017;Bananeiras (PB);21156
2017;Bandeira (MG);4984
2017;Bandeira do Sul (MG);5739
2017;Bandeirante (SC);2751
2017;Bandeirantes (MS);6795
2017;Bandeirantes (PR);32486
2017;Bandeirantes do Tocantins (TO);3500
2017;Bannach (PA);3200
2017;Banzaê (BA);13765
2017;Barão (RS);6109
2017;Barão de Antonina (SP);3406
2017;Barão de Cocais (MG);31968
2017;Barão de Cotegipe (RS);6763
2017;Barão de Grajaú (MA);18619
2017;Barão de Melgaço (MT);7872
2017;Barão de Monte Alto (MG);5648
2017;Barão do Triunfo (RS);7440
2017;Baraúna (PB);4925
2017;Baraúna (RN);28085
2017;Barbacena (MG);136689
2017;Barbalha (CE);59811
2017;Barbosa (SP);7251
2017;Barbosa Ferraz (PR);12300
2017;Barcarena (PA);121190
2017;Barcelona (RN);4064
2017;Barcelos (AM);27743
2017;Bariri (SP);34602
2017;Barra (BA);54915
2017;Barra Bonita (SC);1739
2017;Barra Bonita (SP);36331
2017;Barra da Estiva (BA);22082
2017;Barra D'Alcântara (PI);3889
2017;Barra de Guabiraba (PE);14224
2017;Barra de Santa Rosa (PB);15421
2017;Barra de Santana (PB);8241
2017;Barra de Santo Antônio (AL);16064
2017;Barra de São Francisco (ES);45283
2017;Barra de São Miguel (AL);8401
2017;Barra de São Miguel (PB);5979
2017;Barra do Bugres (MT);33644
2017;Barra do Chapéu (SP);5653
2017;Barra do Choça (BA);34121
2017;Barra do Corda (MA);87135
2017;Barra do Garças (MT);58974
2017;Barra do Guarita (RS);3253
2017;Barra do Jacaré (PR);2828
2017;Barra do Mendes (BA);14560
2017;Barra do Ouro (TO);4544
2017;Barra do Piraí (RJ);97460
2017;Barra do Quaraí (RS);4223
2017;Barra do Ribeiro (RS);13365
2017;Barra do Rio Azul (RS);1915
2017;Barra do Rocha (BA);6258
2017;Barra do Turvo (SP);7781
2017;Barra dos Coqueiros (SE);29807
2017;Barra Funda (RS);2516
2017;Barra Longa (MG);5624
2017;Barra Mansa (RJ);179451
2017;Barra Velha (SC);27781
2017;Barracão (PR);10314
2017;Barracão (RS);5474
2017;Barras (PI);46291
2017;Barreira (CE);20978
2017;Barreiras (BA);157638
2017;Barreiras do Piauí (PI);3294
2017;Barreirinha (AM);31542
2017;Barreirinhas (MA);62458
2017;Barreiros (PE);42438
2017;Barretos (SP);120638
2017;Barrinha (SP);31921
2017;Barro (CE);22440
2017;Barro Alto (BA);15217
2017;Barro Alto (GO);10435
2017;Barro Duro (PI);6925
2017;Barro Preto (BA);6251
2017;Barrocas (BA);16296
2017;Barrolândia (TO);5643
2017;Barroquinha (CE);14880
2017;Barros Cassal (RS);11486
2017;Barroso (MG);20882
2017;Barueri (SP);267534
2017;Bastos (SP);21073
2017;Bataguassu (MS);22389
2017;Batalha (AL);18757
2017;Batalha (PI);26421
2017;Batatais (SP);61480
2017;Batayporã (MS);11248
2017;Baturité (CE);35351
2017;Bauru (SP);371690
2017;Bayeux (PB);97010
2017;Bebedouro (SP);77761
2017;Beberibe (CE);53110
2017;Bela Cruz (CE);32378
2017;Bela Vista (MS);24331
2017;Bela Vista da Caroba (PR);3774
2017;Bela Vista de Goiás (GO);28514
2017;Bela Vista de Minas (MG);10416
2017;Bela Vista do Maranhão (MA);11103
2017;Bela Vista do Paraíso (PR);15656
2017;Bela Vista do Piauí (PI);3947
2017;Bela Vista do Toldo (SC);6304
2017;Belágua (MA);7422
2017;Belém (AL);4453
2017;Belém (PA);1452275
2017;Belém (PB);17685
2017;Belém de Maria (PE);11992
2017;Belém do Brejo do Cruz (PB);7347
2017;Belém do Piauí (PI);3503
2017;Belém do São Francisco (PE);20670
2017;Belford Roxo (RJ);495783
2017;Belmiro Braga (MG);3503
2017;Belmonte (BA);24013
2017;Belmonte (SC);2709
2017;Belo Campo (BA);18247
2017;Belo Horizonte (MG);2523794
2017;Belo Jardim (PE);75986
2017;Belo Monte (AL);6797
2017;Belo Oriente (MG);26158
2017;Belo Vale (MG);7841
2017;Belterra (PA);17249
2017;Beneditinos (PI);10037
2017;Benedito Leite (MA);5528
2017;Benedito Novo (SC);11425
2017;Benevides (PA);60990
2017;Benjamin Constant (AM);41329
2017;Benjamin Constant do Sul (RS);2227
2017;Bento de Abreu (SP);2925
2017;Bento Fernandes (RN);5527
2017;Bento Gonçalves (RS);115069
2017;Bequimão (MA);20881
2017;Berilo (MG);12360
2017;Berizal (MG);4720
2017;Bernardino Batista (PB);3438
2017;Bernardino de Campos (SP);11180
2017;Bernardo do Mearim (MA);5973
2017;Bernardo Sayão (TO);4518
2017;Bertioga (SP);59297
2017;Bertolínia (PI);5413
2017;Bertópolis (MG);4678
2017;Beruri (AM);18978
2017;Betânia (PE);12637
2017;Betânia do Piauí (PI);6106
2017;Betim (MG);427146
2017;Bezerros (PE);60549
2017;Bias Fortes (MG);3613
2017;Bicas (MG);14545
2017;Biguaçu (SC);66558
2017;Bilac (SP);7837
2017;Biquinhas (MG);2619
2017;Birigui (SP);120692
2017;Biritiba Mirim (SP);31793
2017;Biritinga (BA);16653
2017;Bituruna (PR);16627
2017;Blumenau (SC);348513
2017;Boa Esperança (ES);15460
2017;Boa Esperança (MG);40530
2017;Boa Esperança (PR);4392
2017;Boa Esperança do Iguaçu (PR);2671
2017;Boa Esperança do Sul (SP);14727
2017;Boa Hora (PI);6663
2017;Boa Nova (BA);14069
2017;Boa Ventura (PB);5349
2017;Boa Ventura de São Roque (PR);6665
2017;Boa Viagem (CE);54049
2017;Boa Vista (PB);7083
2017;Boa Vista (RR);332020
2017;Boa Vista da Aparecida (PR);7911
2017;Boa Vista das Missões (RS);2167
2017;Boa Vista do Buricá (RS);6829
2017;Boa Vista do Cadeado (RS);2526
2017;Boa Vista do Gurupi (MA);9320
2017;Boa Vista do Incra (RS);2579
2017;Boa Vista do Ramos (AM);18483
2017;Boa Vista do Sul (RS);2859
2017;Boa Vista do Tupim (BA);19502
2017;Boca da Mata (AL);27590
2017;Boca do Acre (AM);34176
2017;Bocaina (PI);4428
2017;Bocaina (SP);12040
2017;Bocaina de Minas (MG);5185
2017;Bocaina do Sul (SC);3456
2017;Bocaiúva (MG);50168
2017;Bocaiúva do Sul (PR);12477
2017;Bodó (RN);2307
2017;Bodocó (PE);37816
2017;Bodoquena (MS);7820
2017;Bofete (SP);11236
2017;Boituva (SP);57910
2017;Bom Conselho (PE);48214
2017;Bom Despacho (MG);50042
2017;Bom Jardim (MA);41120
2017;Bom Jardim (PE);39025
2017;Bom Jardim (RJ);26566
2017;Bom Jardim da Serra (SC);4694
2017;Bom Jardim de Goiás (GO);8896
2017;Bom Jardim de Minas (MG);6644
2017;Bom Jesus (PB);2567
2017;Bom Jesus (PI);24711
2017;Bom Jesus (RN);10254
2017;Bom Jesus (RS);11773
2017;Bom Jesus (SC);2919
2017;Bom Jesus da Lapa (BA);70618
2017;Bom Jesus da Penha (MG);4203
2017;Bom Jesus da Serra (BA);10477
2017;Bom Jesus das Selvas (MA);34278
2017;Bom Jesus de Goiás (GO);23998
2017;Bom Jesus do Amparo (MG);6018
2017;Bom Jesus do Araguaia (MT);6266
2017;Bom Jesus do Galho (MG);15459
2017;Bom Jesus do Itabapoana (RJ);36068
2017;Bom Jesus do Norte (ES);10254
2017;Bom Jesus do Oeste (SC);2151
2017;Bom Jesus do Sul (PR);3733
2017;Bom Jesus do Tocantins (PA);16517
2017;Bom Jesus do Tocantins (TO);4700
2017;Bom Jesus dos Perdões (SP);24023
2017;Bom Lugar (MA);16214
2017;Bom Princípio (RS);13189
2017;Bom Princípio do Piauí (PI);5535
2017;Bom Progresso (RS);2216
2017;Bom Repouso (MG);10775
2017;Bom Retiro (SC);9796
2017;Bom Retiro do Sul (RS);12204
2017;Bom Sucesso (MG);17907
2017;Bom Sucesso (PB);4972
2017;Bom Sucesso (PR);7019
2017;Bom Sucesso de Itararé (SP);3888
2017;Bom Sucesso do Sul (PR);3358
2017;Bombinhas (SC);18623
2017;Bonfim (MG);7020
2017;Bonfim (RR);11945
2017;Bonfim do Piauí (PI);5577
2017;Bonfinópolis (GO);9052
2017;Bonfinópolis de Minas (MG);5764
2017;Boninal (BA);14760
2017;Bonito (BA);17131
2017;Bonito (MS);21483
2017;Bonito (PA);15834
2017;Bonito (PE);38044
2017;Bonito de Minas (MG);10951
2017;Bonito de Santa Fé (PB);11938
2017;Bonópolis (GO);4143
2017;Boqueirão (PB);17842
2017;Boqueirão do Leão (RS);7914
2017;Boqueirão do Piauí (PI);6300
2017;Boquim (SE);26961
2017;Boquira (BA);22464
2017;Borá (SP);839
2017;Boracéia (SP);4717
2017;Borba (AM);40464
2017;Borborema (PB);5430
2017;Borborema (SP);15791
2017;Borda da Mata (MG);19055
2017;Borebi (SP);2577
2017;Borrazópolis (PR);7280
2017;Bossoroca (RS);6801
2017;Botelhos (MG);15322
2017;Botucatu (SP);142546
2017;Botumirim (MG);6540
2017;Botuporã (BA);10898
2017;Botuverá (SC);5100
2017;Bozano (RS);2228
2017;Braço do Norte (SC);32648
2017;Braço do Trombudo (SC);3709
2017;Braga (RS);3647
2017;Bragança (PA);124184
2017;Bragança Paulista (SP);164163
2017;Braganey (PR);5687
2017;Branquinha (AL);10675
2017;Brás Pires (MG);4550
2017;Brasil Novo (PA);14689
2017;Brasilândia (MS);11864
2017;Brasilândia de Minas (MG);16105
2017;Brasilândia do Sul (PR);2943
2017;Brasilândia do Tocantins (TO);2199
2017;Brasiléia (AC);24765
2017;Brasileira (PI);8192
2017;Brasília (DF);3039444
2017;Brasília de Minas (MG);32732
2017;Brasnorte (MT);18688
2017;Braúna (SP);5557
2017;Braúnas (MG);5003
2017;Brazabrantes (GO);3604
2017;Brazópolis (MG);14889
2017;Brejão (PE);8973
2017;Brejetuba (ES);12838
2017;Brejinho (PE);7465
2017;Brejinho (RN);12720
2017;Brejinho de Nazaré (TO);5499
2017;Brejo (MA);36102
2017;Brejo Alegre (SP);2812
2017;Brejo da Madre de Deus (PE);50138
2017;Brejo de Areia (MA);8696
2017;Brejo do Cruz (PB);14107
2017;Brejo do Piauí (PI);3823
2017;Brejo dos Santos (PB);6457
2017;Brejo Grande (SE);8322
2017;Brejo Grande do Araguaia (PA);7182
2017;Brejo Santo (CE);48830
2017;Brejões (BA);15122
2017;Brejolândia (BA);10833
2017;Breu Branco (PA);64194
2017;Breves (PA);99896
2017;Britânia (GO);5817
2017;Brochier (RS);4996
2017;Brodowski (SP);24092
2017;Brotas (SP);23858
2017;Brotas de Macaúbas (BA);10974
2017;Brumadinho (MG);38863
2017;Brumado (BA);69677
2017;Brunópolis (SC);2539
2017;Brusque (SC);128818
2017;Bueno Brandão (MG);11233
2017;Buenópolis (MG);10594
2017;Buenos Aires (PE);13085
2017;Buerarema (BA);19256
2017;Bugre (MG);4146
2017;Buíque (PE);57696
2017;Bujari (AC);9664
2017;Bujaru (PA);28331
2017;Buri (SP);19737
2017;Buritama (SP);16841
2017;Buriti (MA);28306
2017;Buriti Alegre (GO);9535
2017;Buriti Bravo (MA);23495
2017;Buriti de Goiás (GO);2583
2017;Buriti do Tocantins (TO);11135
2017;Buriti dos Lopes (PI);19464
2017;Buriti dos Montes (PI);8108
2017;Buriticupu (MA);71979
2017;Buritinópolis (GO);3389
2017;Buritirama (BA);21786
2017;Buritirana (MA);15180
2017;Buritis (MG);24689
2017;Buritis (RO);39044
2017;Buritizal (SP);4408
2017;Buritizeiro (MG);28335
2017;Butiá (RS);21247
2017;Caapiranga (AM);12820
2017;Caaporã (PB);21872
2017;Caarapó (MS);29292
2017;Caatiba (BA);7841
2017;Cabaceiras (PB);5570
2017;Cabaceiras do Paraguaçu (BA);19312
2017;Cabeceira Grande (MG);6940
2017;Cabeceiras (GO);7935
2017;Cabeceiras do Piauí (PI);10406
2017;Cabedelo (PB);68033
2017;Cabixi (RO);6224
2017;Cabo de Santo Agostinho (PE);204653
2017;Cabo Frio (RJ);216030
2017;Cabo Verde (MG);14330
2017;Cabrália Paulista (SP);4352
2017;Cabreúva (SP);47877
2017;Cabrobó (PE);33856
2017;Caçador (SC);77323
2017;Caçapava (SP);92587
2017;Caçapava do Sul (RS);34634
2017;Cacaulândia (RO);6460
2017;Cacequi (RS);13552
2017;Cáceres (MT);91271
2017;Cachoeira (BA);35139
2017;Cachoeira Alta (GO);12002
2017;Cachoeira da Prata (MG);3710
2017;Cachoeira de Goiás (GO);1414
